step,TE,KE,PE,T
0.0000000000000000,162.3870550223922464,1.0241007073981414,162.3776939833602455,0.0010000983470685
100.0000000000000000,161.1814518081864946,2.1342716235581789,160.1573511007883610,0.0020842496323810
200.0000000000000000,155.9014651062003907,5.3293488701496861,153.7671934826421989,0.0052044422560056
300.0000000000000000,149.0318221064134718,10.3617064974214603,143.7024732362637849,0.0101188540013881
400.0000000000000000,141.1048958948085215,16.8413452288718908,130.7431893973870558,0.0164466262000702
500.0000000000000000,132.7304293455404718,24.2683943380149003,115.8890841166685703,0.0236996038457177
600.0000000000000000,124.5218924599100632,32.0861839046740727,100.2534981218951629,0.0313341639694083
700.0000000000000000,116.9976436518915790,39.7572004606593126,84.9114597472175063,0.0388253910748626
800.0000000000000000,110.4748628475266798,46.8540969152116276,70.7176623868673602,0.0457559540187614
900.0000000000000000,105.4090453056062842,53.0016285142676438,58.5549483903946566,0.0517594028459645
1000.0000000000000000,101.7060866188735702,57.9268734802978855,48.7044581046059264,0.0565692123831034
1100.0000000000000000,99.3603932963727630,61.5623433613701962,41.4335198160748774,0.0601194759388381
1200.0000000000000000,98.1882359582988329,63.9661585785601758,36.6258925969286295,0.0624669517368752
1300.0000000000000000,97.8927068680049217,65.3158326646886280,33.9265482894447388,0.0637849928366100
1400.0000000000000000,65.3954409014217077,65.7217784723232512,0.0796082367330726,0.0641814242893782
1500.0000000000000000,65.8079150992665234,65.7247589186401626,0.0861366269432735,0.0641843348814845
1600.0000000000000000,65.8192237249505041,65.7283729686393485,0.0944648063103460,0.0641878642271869
1700.0000000000000000,65.8326488157815533,65.7327244102951767,0.1042758471422076,0.0641921136819289
1800.0000000000000000,65.8478712298328901,65.7379607655805387,0.1151468195377159,0.0641972273101372
1900.0000000000000000,65.9428597869626998,65.7338485027314761,0.2048990213821606,0.0641932114284487
2000.0000000000000000,65.9770198069821703,65.7219015108500031,0.2431713042506956,0.0641815444441895
2100.0000000000000000,66.0027977778424599,65.7120562501089296,0.2808962669924633,0.0641719299317470
2200.0000000000000000,66.0284276970940880,65.7053202326010535,0.3163714469851545,0.0641653517896495
2300.0000000000000000,66.0532129690612777,65.7026251382454944,0.3478927364602262,0.0641627198615679
2400.0000000000000000,65.8789245054174017,65.7108884987368072,0.1762993671719138,0.0641707895495477
2500.0000000000000000,65.8948239527505422,65.7252179684304281,0.1839354540137290,0.0641847831722953
2600.0000000000000000,65.9119724132140448,65.7421295131303509,0.1867544447836130,0.0642012983526664
2700.0000000000000000,65.9268143208224586,65.7613048547295165,0.1846848076921047,0.0642200242721968
2800.0000000000000000,65.9393570309990480,65.7822871001327059,0.1780521762695248,0.0642405147462233
2900.0000000000000000,161.6728690162184989,64.7146317549811272,95.8905819160858073,0.0631978825732238
3000.0000000000000000,160.9998728977596443,64.5173009699524869,96.2852411427785313,0.0630051767284692
3100.0000000000000000,159.0186320912307565,65.4092540918486094,94.5013311212782696,0.0638762246990709
3200.0000000000000000,156.4233387204469068,67.1528756543395247,91.0140846285983116,0.0655789801311909
3300.0000000000000000,153.8211164980235708,69.4563901420673204,86.6682408436840461,0.0678285059981126
3400.0000000000000000,151.0498381251602495,71.9937850310229663,81.5934479830929433,0.0703064306943584
3500.0000000000000000,148.3631392100011794,74.6058306440572778,76.3693541789781989,0.0728572564883372
3600.0000000000000000,146.0058719220267562,77.0904863896051324,71.4000412779694784,0.0752836781148488
3700.0000000000000000,144.1791576086500299,79.2963604891441491,67.0886712190448975,0.0774378520401798
3800.0000000000000000,142.6271638377619979,81.1752943414410026,63.3308033486178346,0.0792727483803135
3900.0000000000000000,141.3503716488865791,82.7531572026099695,60.1750773074455836,0.0808136300806738
4000.0000000000000000,140.3887645654550340,84.0228926713995747,57.6356073628450574,0.0820536061244136
4100.0000000000000000,139.9498264311223465,84.9503277742506668,55.9269337597227647,0.0829593044670417
4200.0000000000000000,139.7141046444264418,85.5319070053687369,54.7637768701757750,0.0835272529349304
4300.0000000000000000,139.5937520932212976,85.8828741850902873,54.0618450878525607,0.0838699943213772
4400.0000000000000000,139.4788047733187000,86.1158319459186430,53.5959305882283985,0.0840974921346862
4500.0000000000000000,86.2803290062839636,86.1790412330388449,0.1644970603653178,0.0841592199541395
4600.0000000000000000,86.3420513919805757,86.1875222189918304,0.1630101589417294,0.0841675021669842
4700.0000000000000000,86.3424034363787456,86.2011364718604085,0.1548812173869152,0.0841807973358012
4800.0000000000000000,86.3422757849050129,86.2190064012892776,0.1411393130445988,0.0841982484387591
4900.0000000000000000,151.1156945735480690,84.9002612963320473,64.8966881722587772,0.0829104114221993
5000.0000000000000000,153.1715296646349884,83.2129723669319787,68.2712683683029411,0.0812626683270820
5100.0000000000000000,153.8633661999193691,82.0234101841162584,70.6503938329873904,0.0801009865079260
5200.0000000000000000,153.8789003216193123,81.4208621011044187,71.8554901375030397,0.0795125606456098
5300.0000000000000000,153.3696969683210227,81.4020832880339498,71.9488348672166182,0.0794942219609707
5400.0000000000000000,152.3516871434646873,81.9016980981701437,70.9496038554307233,0.0799821270489943
5500.0000000000000000,150.9635195379531751,82.8455888002564507,69.0618214397830457,0.0809038953127504
5600.0000000000000000,149.3006567675036251,84.1489647445706481,66.4550679672471745,0.0821767233833698
5700.0000000000000000,147.6975340422807221,85.6812859223290815,63.5485692977100882,0.0836731307835245
5800.0000000000000000,146.1571265525119827,87.2176494043964539,60.4758406301829012,0.0851734857464809
5900.0000000000000000,144.7676442647252770,88.6805718751616325,57.5499948603288090,0.0866021209718375
